,precision,recall,f1-score,support
Fire,0.9375,1.0,0.967741935483871,45.0
Rain,1.0,1.0,1.0,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
WaterDrops,1.0,1.0,1.0,45.0
Wind,1.0,1.0,1.0,45.0
Silence,1.0,1.0,1.0,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8222222222222222,0.9024390243902439,45.0
VehicleEngine,0.9574468085106383,1.0,0.9782608695652174,45.0
Axe,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Chainsaw,1.0,1.0,1.0,45.0
Generator,0.9375,1.0,0.967741935483871,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,1.0,1.0,1.0,45.0
Gunshot,1.0,1.0,1.0,45.0
WoodChop,0.9761904761904762,0.9111111111111111,0.9425287356321839,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,1.0,1.0,1.0,45.0
Footsteps,1.0,1.0,1.0,45.0
Clapping,1.0,1.0,1.0,45.0
Insect,0.8823529411764706,1.0,0.9375,45.0
Frog,1.0,0.9333333333333333,0.9655172413793104,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,1.0,1.0,1.0,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,1.0,0.9333333333333333,0.9655172413793104,45.0
accuracy,0.9843621399176955,0.9843621399176955,0.9843621399176955,0.9843621399176955
macro avg,0.9854173334687173,0.9843621399176955,0.9841765443176169,1215.0
weighted avg,0.9854173334687171,0.9843621399176955,0.9841765443176169,1215.0
