,precision,recall,f1-score,support
Fire,0.9375,1.0,0.967741935483871,45.0
Rain,0.9574468085106383,1.0,0.9782608695652174,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
WaterDrops,0.9782608695652174,1.0,0.989010989010989,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
Silence,0.9782608695652174,1.0,0.989010989010989,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8444444444444444,0.9156626506024096,45.0
VehicleEngine,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
Axe,0.7142857142857143,0.6666666666666666,0.6896551724137931,45.0
Chainsaw,1.0,1.0,1.0,45.0
Generator,0.926829268292683,0.8444444444444444,0.8837209302325582,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
WoodChop,0.7380952380952381,0.6888888888888889,0.7126436781609196,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9183673469387755,1.0,0.9574468085106383,45.0
Footsteps,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Clapping,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Insect,0.8823529411764706,1.0,0.9375,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,0.8979591836734694,0.9777777777777777,0.9361702127659575,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,0.975609756097561,0.8888888888888888,0.9302325581395349,45.0
accuracy,0.9473251028806584,0.9473251028806584,0.9473251028806584,0.9473251028806584
macro avg,0.9475343708387653,0.9473251028806585,0.9463912237912021,1215.0
weighted avg,0.9475343708387655,0.9473251028806584,0.946391223791202,1215.0
