,precision,recall,f1-score,support
Fire,0.9183673469387755,1.0,0.9574468085106383,45.0
Rain,0.9375,1.0,0.967741935483871,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
WaterDrops,0.9782608695652174,1.0,0.989010989010989,45.0
Wind,1.0,1.0,1.0,45.0
Silence,1.0,1.0,1.0,45.0
TreeFalling,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8222222222222222,0.9024390243902439,45.0
VehicleEngine,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Axe,0.6888888888888889,0.6888888888888889,0.6888888888888889,45.0
Chainsaw,1.0,1.0,1.0,45.0
Generator,0.8837209302325582,0.8444444444444444,0.8636363636363636,45.0
Handsaw,1.0,1.0,1.0,45.0
Firework,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
WoodChop,0.7435897435897436,0.6444444444444445,0.6904761904761905,45.0
Whistling,1.0,1.0,1.0,45.0
Speaking,0.9574468085106383,1.0,0.9782608695652174,45.0
Footsteps,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Clapping,0.9772727272727273,0.9555555555555556,0.9662921348314607,45.0
Insect,0.8653846153846154,1.0,0.9278350515463918,45.0
Frog,1.0,0.8888888888888888,0.9411764705882353,45.0
BirdChirping,1.0,1.0,1.0,45.0
WingFlaping,0.88,0.9777777777777777,0.9263157894736842,45.0
Lion,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
Squirrel,0.975609756097561,0.8888888888888888,0.9302325581395349,45.0
accuracy,0.9465020576131687,0.9465020576131687,0.9465020576131687,0.9465020576131687
macro avg,0.9470232830741655,0.946502057613169,0.945626318312636,1215.0
weighted avg,0.9470232830741655,0.9465020576131687,0.9456263183126358,1215.0
