,precision,recall,f1-score,support
Axe,0.7608695652173914,0.7777777777777778,0.7692307692307693,45.0
BirdChirping,1.0,1.0,1.0,45.0
Chainsaw,1.0,1.0,1.0,45.0
Clapping,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Fire,0.9375,1.0,0.967741935483871,45.0
Firework,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Footsteps,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Frog,1.0,0.8666666666666667,0.9285714285714286,45.0
Generator,0.9047619047619048,0.8444444444444444,0.8735632183908046,45.0
Gunshot,1.0,0.9555555555555556,0.9772727272727273,45.0
Handsaw,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8222222222222222,0.9024390243902439,45.0
Insect,0.8490566037735849,1.0,0.9183673469387755,45.0
Lion,1.0,1.0,1.0,45.0
Rain,0.9375,1.0,0.967741935483871,45.0
Silence,0.9772727272727273,0.9555555555555556,0.9662921348314607,45.0
Speaking,0.9183673469387755,1.0,0.9574468085106383,45.0
Squirrel,0.975609756097561,0.8888888888888888,0.9302325581395349,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
TreeFalling,1.0,1.0,1.0,45.0
VehicleEngine,0.8913043478260869,0.9111111111111111,0.9010989010989011,45.0
WaterDrops,0.9782608695652174,1.0,0.989010989010989,45.0
Whistling,1.0,1.0,1.0,45.0
Wind,0.9782608695652174,1.0,0.989010989010989,45.0
WingFlaping,0.9361702127659575,0.9777777777777777,0.9565217391304348,45.0
WolfHowl,1.0,1.0,1.0,45.0
WoodChop,0.8,0.7111111111111111,0.7529411764705882,45.0
accuracy,0.9489711934156378,0.9489711934156378,0.9489711934156378,0.9489711934156378
macro avg,0.9500561603477145,0.948971193415638,0.9483367150857626,1215.0
weighted avg,0.9500561603477143,0.9489711934156378,0.9483367150857626,1215.0
