,precision,recall,f1-score,support
Axe,1.0,1.0,1.0,45.0
BirdChirping,1.0,1.0,1.0,45.0
Chainsaw,1.0,1.0,1.0,45.0
Clapping,1.0,1.0,1.0,45.0
Fire,0.9574468085106383,1.0,0.9782608695652174,45.0
Firework,1.0,1.0,1.0,45.0
Footsteps,1.0,1.0,1.0,45.0
Frog,1.0,0.9333333333333333,0.9655172413793104,45.0
Generator,0.9782608695652174,1.0,0.989010989010989,45.0
Gunshot,1.0,1.0,1.0,45.0
Handsaw,1.0,1.0,1.0,45.0
Helicopter,1.0,0.8888888888888888,0.9411764705882353,45.0
Insect,0.9,1.0,0.9473684210526315,45.0
Lion,1.0,1.0,1.0,45.0
Rain,1.0,1.0,1.0,45.0
Silence,1.0,1.0,1.0,45.0
Speaking,0.9782608695652174,1.0,0.989010989010989,45.0
Squirrel,1.0,0.9333333333333333,0.9655172413793104,45.0
Thunderstorm,0.9375,1.0,0.967741935483871,45.0
TreeFalling,1.0,1.0,1.0,45.0
VehicleEngine,0.9782608695652174,1.0,0.989010989010989,45.0
WaterDrops,1.0,1.0,1.0,45.0
Whistling,1.0,1.0,1.0,45.0
Wind,1.0,1.0,1.0,45.0
WingFlaping,1.0,1.0,1.0,45.0
WolfHowl,1.0,1.0,1.0,45.0
WoodChop,1.0,0.9555555555555556,0.9772727272727273,45.0
accuracy,0.9893004115226337,0.9893004115226337,0.9893004115226337,0.9893004115226337
macro avg,0.9899899784150478,0.9893004115226338,0.9892551064353433,1215.0
weighted avg,0.9899899784150479,0.9893004115226337,0.9892551064353435,1215.0
